"Write a review","Write a review"
"Customer's birthday","Customer's birthday"
"Like a page with Facebook","Like a page with Facebook"
"Tweet a page with Twitter","Tweet a page with Twitter"
"+1' a page with Google+","+1' a page with Google+"
"Share a purchase on Facebook","Share a purchase on Facebook"
"Home Page","Home Page"
"Product List","Product List"
"Product Details","Product Details"
Day,Day
Week,Week
Month,Month
Year,Year
"Give points to the customer","Give points to the customer"
"Per day","Per day"
"Per month","Per month"
"Per year","Per year"
Lifetime,Lifetime
"Give fixed X points to Referer","Give fixed X points to Referer"
Hash,Hash
"Url Param","Url Param"
"Your balance is not enough to place the order.","Your balance is not enough to place the order."
"You haven't enough point update items","You haven't enough point update items"
"You haven't enough point to add this product!","You haven't enough point to add this product!"
"Please sign in to add the product!","Please sign in to add the product!"
"We couldn't find any records.","We couldn't find any records."
"Chart is disabled. To enable the chart, click <a href='%1'>here</a>","Chart is disabled. To enable the chart, click <a href='%1'>here</a>"
"Refer Email Or Code","Refer Email Or Code"
"Share your referral link with your friends and earn commissions","Share your referral link with your friends and earn commissions"
"Referral URL And Code","Referral URL And Code"
"Refer URL","Refer URL"
copy,copy
"Refer Code","Refer Code"
"Refer Email","Refer Email"
"Referral via Social","Referral via Social"
"Send Invitations","Send Invitations"
"Send from","Send from"
Store,Store
"Your email address","Your email address"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"To reduce the chance that your message is marked as spam, please follow this format: ""Contact name"" <name@example.com>","To reduce the chance that your message is marked as spam, please follow this format: ""Contact name"" <name@example.com>"
"Example contact list:""John"" <john@example.com>, peter@icloud.com,jennifer@google.com, hello@yahoo.com, mark@gmail.com","Example contact list:""John"" <john@example.com>, peter@icloud.com,jennifer@google.com, hello@yahoo.com, mark@gmail.com"
"Message (Just your message, referral links will be added automatically.)","Message (Just your message, referral links will be added automatically.)"
message,message
"SEND NOW","SEND NOW"
copied,copied
"Your Invitee","Your Invitee"
ID,ID
Receiver,Receiver
"Receiver earn","Receiver earn"
"Receiver discount","Receiver discount"
"You earn","You earn"
Date,Date
"EARN REWARDS FOR SHARING YOUR PURCHASE.","EARN REWARDS FOR SHARING YOUR PURCHASE."
"Dear %name,","Dear %name,"
"%storeName would like to wish you good health, luck and success on the occasion of your birthday!","%storeName would like to wish you good health, luck and success on the occasion of your birthday!"
"By the way, please receive our small gift which is %pointAmount to spend at ","By the way, please receive our small gift which is %pointAmount to spend at "
"Happy Birthday!","Happy Birthday!"
"Invitation from %store_name","Invitation from %store_name"
"Please accept this invitation to join ","Please accept this invitation to join "
Link:,Link:
Message:,Message:
Qty,Qty
"View Details","View Details"
"Options Details","Options Details"
Earning,Earning
"Behavior Rules","Behavior Rules"
Referrals,Referrals
Rules,Rules
"Mageplaza Reward Reports","Mageplaza Reward Reports"
"Social behavior","Social behavior"
"Like via Facebook","Like via Facebook"
"Show Facebook like button on frontend","Show Facebook like button on frontend"
"Show Facebook like count on frontend","Show Facebook like count on frontend"
"Page to display","Page to display"
"Tweet via Twitter","Tweet via Twitter"
"Show Twitter tweet button on frontend","Show Twitter tweet button on frontend"
"1+ via Google+","1+ via Google+"
"Show Google+ button on frontend","Show Google+ button on frontend"
"Customer referrals","Customer referrals"
General,General
"Invitation e-mail","Invitation e-mail"
"Default Refer URL","Default Refer URL"
"Url Key","Url Key"
"Use Param","Use Param"
Prefix,Prefix
Name,Name
"Point Amount","Point Amount"
Status,Status
Active,Active
Inactive,Inactive
"Created On","Created On"
Expired,Expired
Priority,Priority
Delete,Delete
"Referral Email","Referral Email"
"Invited Email","Invited Email"
"Invited Earn","Invited Earn"
"Invited Discount","Invited Discount"
"Web Site(s)","Web Site(s)"
"Customer Group(s)","Customer Group(s)"
"Store View","Store View"
"Customer Groups","Customer Groups"
"-- Select --","-- Select --"
Period,Period
"Created At","Created At"
"Total earning","Total earning"
"Total Spending","Total Spending"
"Number of orders","Number of orders"
"Discount for spending points","Discount for spending points"
"Grand Total Of Orders Using Points","Grand Total Of Orders Using Points"
"My Referral","My Referral"
